Trade Date,Exchange Code,Asset Class,Product Code,Clearing Code,Product Description,Product Type,Underlying Product Code,Put/Call,Strike Price,Contract Year,Contract Month,Contract Day,Settlement,Settlement Cabinet Indicator,Open Interest,Total Volume,Globex Volume,Floor Volume,PNT Volume,Block Volume,EFP Volume,EOO Volume,EFR Volume,EFS Volume,EFB Volume,EFM Volume,SUB Volume,OPNT Volume,TAS Volume,TAS Block Volume,TAM Singapore Volume,TAM Singapore Block Volume,TAM London Volume,TAM London Block Volume,Globex Open Price,Globex Open Price Bid/Ask Indicator,Globex Open Price Cabinet Indicator,Globex High Price,Globex High Price Bid/Ask Indicator,Globex High Price Cabinet Indicator,Globex Low Price,Globex Low Price Bid/Ask Indicator,Globex Low Price Cabinet Indicator,Globex Close Price,Globex Close Price Bid/Ask Indicator,Globex Close Price Cabinet Indicator,Floor Open Price,Floor Open Price Bid/Ask Indicator,Floor Open Price Cabinet Indicator,Floor Open Second Price,Floor Open Second Price Bid/Ask Indicator,Floor High Price,Floor High Price Bid/Ask Indicator,Floor High Price Cabinet Indicator,Floor Low Price,Floor Low Price Bid/Ask Indicator,Floor Low Price Cabinet Indicator,Floor Close Price,Floor Close Price Bid/Ask Indicator,Floor Close Price Cabinet Indicator,Floor Close Second Price,Floor Close Second Price Bid/Ask Indicator,Floor Post-Close Price,Floor Post-Close Price Bid/Ask Indicator,Floor Post-Close Second Price,Floor Post-Close Second Price Bid/Ask Indicator,Delta,Implied Volatility,Last Trade Date
20140110,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",10.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24797","0.1948268","20140221",
20140113,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",10.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25975","0.1899768","20140221",
20140113,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",4.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15561","0.1812591","20140221",
20140114,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",10.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2477","0.2045741","20140221",
20140114,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",6.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.19955","0.2021474","20140221",
20140115,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",6.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.19947","0.2047899","20140221",
20140115,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",7.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23416","0.1948944","20140221",
20140116,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",10.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.25335","0.2038141","20140221",
20140116,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",5.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1784","0.1986922","20140221",
20140117,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",6.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.20842","0.1988677","20140221",
